B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,Class,sample,ClassName
1652,1383,1277,1105,1037,1095,1125,968,1011,277,10,486,343,1,train,Water
1634,1391,1286,1091,1042,1113,1137,1011,1038,270,11,485,328,1,train,Water
1688,1409,1201,1045,1260,1556,1527,1289,1374,294,9,460,324,1,train,Water
1642,1389,1240,1003,980,995,1045,941,1007,257,9,466,327,1,train,Water
1718,1403,1199,1139,1151,1280,1359,1197,1348,491,11,925,607,1,train,Water
1715,1423,1261,1165,1100,1390,1568,1841,1516,569,12,937,595,1,train,Water
1742,1439,1282,1254,1246,1844,2088,2130,2233,498,12,1431,862,1,train,Water
1750,1395,1173,1108,1109,1443,1512,1057,1599,567,13,972,599,1,train,Water
1681,1391,1163,1018,1258,1567,1641,1416,1479,299,10,527,323,1,train,Water
1645,1373,1263,1050,1000,1013,1092,984,1049,255,9,458,281,1,train,Water
1722,1467,1286,1121,1211,1523,1656,1371,1687,507,11,1142,818,1,train,Water
1734,1417,1249,1143,1118,1335,1399,1137,1431,485,12,1024,691,1,train,Water
1810,1522,1294,1176,1340,1781,1989,1727,1969,575,11,1466,912,1,train,Water
1633,1332,1182,941,1003,1077,1145,1061,1160,388,11,659,440,1,train,Water
1741,1364,1117,989,1106,1701,1862,1548,1911,596,12,1199,757,1,train,Water
1756,1599,1554,1668,1654,2036,2254,2105,2436,566,13,2248,1580,1,train,Water
1779,1539,1404,1249,1287,1395,1498,1215,1499,565,13,946,637,1,train,Water
1707,1402,1208,1002,1186,1461,1645,1140,1600,551,12,1177,748,1,train,Water
1639,1338,1302,1116,1121,1158,1207,1065,1095,445,11,589,383,1,train,Water
1768,1377,1165,1052,1107,1666,1736,1576,1811,615,11,1042,598,1,train,Water
1599,1359,1194,941,1089,1231,1318,1127,1205,420,9,395,229,1,train,Water
1566,1352,1273,949,1466,1874,1990,1691,1707,310,9,483,275,1,train,Water
1664,1775,1711,1787,1885,2237,2522,2477,2696,733,11,2560,1919,1,train,Water
1653,1353,1152,989,1115,1810,2077,2031,2208,710,11,1610,907,1,train,Water
1540,1292,1203,1066,1258,2138,2469,2432,2681,861,12,1530,759,1,train,Water
1611,1331,1204,1046,1027,1039,1121,979,1102,297,11,544,335,1,train,Water
1559,1391,1300,1274,1324,2395,2798,2644,3059,854,12,1684,788,1,train,Water
1645,1505,1546,1447,1675,2395,2647,2529,2823,843,13,2091,1478,1,test,Water
1570,1354,1341,1114,1322,1534,1731,1422,1685,713,12,1148,728,1,test,Water
1641,1352,1187,1011,1068,1136,1228,1099,1170,501,10,647,359,1,test,Water
1834,1741,1690,1735,1826,2079,2273,2154,2510,683,15,2522,1944,1,test,Water
1685,1408,1304,1306,1407,1655,1813,1667,1905,507,12,1655,1245,1,test,Water
1657,1423,1272,998,1392,1591,1622,1432,1428,326,10,521,307,1,test,Water
1545,1240,1151,932,1137,2002,2295,2208,2434,722,11,1450,726,2,train,Vegetation
